created_at,account_id,account_lead_id,modified_at,log_type,log_id,log_date,log_subtype_id,log_subtype_name,milestone_id,milestone_name,log_note,log_user_id,log_user_email,log_user_name,group_id,group_name,imported,updated_at,log_type_id
2019-09-16 15:09:07.449688,10,1125772,09/11/2019 01:06:08,Status,155597,09/10/2019 17:01:42,2,Contact Attempt 1,,,,-100,velocify.system.user@securesend.org,"System, Velocify",,,,2019-09-16 15:09:07.449688,7
2019-09-16 15:09:07.449772,10,1125772,09/11/2019 01:06:08,CreationLog,160785,09/10/2019 17:01:39,-50,,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,-1,2019-09-16 15:09:07.449772,
2019-09-16 15:09:07.449827,10,1125772,09/11/2019 01:06:08,Export,113480,09/10/2019 17:01:41,-50,Failure,,,"https://nijt588ad1.execute-api.us-west-1.amazonaws.com/Stage/leads:{
	""lead"": {
		""payload"": {
			""id"": ""1125772"",
		  ""actionCount"": ""0"",
		  ""campaign"": ""Lendilio"",
		  ""campaignGroup"": ""SE 3rd Party"",
		  ""creditProfile"": ""VERYGOOD"",
		  ""dateAdded"": ""9/10/2019 5:01 PM"",
		  ""dayPhone"": ""(555) 214-0428"",
		  ""email"": ""(Hard Bounce)"",
		  ""eveningPhone"": ""(555) 440-7312"",
		  ""existingHomeValue"": ""1"",
		  ""firstName"": ""Matthew"",
		  ""intendedPropertyUse"": ""PRIMARYHOME"",
		  ""lastDuplicate"": """",
		  ""lastName"": ""Lopez"",
		  ""loanAmount"": ""466210.001"",
		  ""loanPurpose"": ""FHA"",
		  ""propertyAddress"": ""na"",
		  ""propertyState"": ""PA"",
		  ""propertyType"": ""6"",
		  ""propertyZipCode"": ""63550"",
		  ""purchasePrice"": ""596122.00"",
		  ""LeadProviderName"": ""EMPLOYEELOANPROGRAM"",
		  ""IsMilitary"": ""Yes"",
		  ""CIS"": ""0.5"",
		  ""FICO"": ""694""
		}
	}
}",-100,,"System, Velocify",,,,2019-09-16 15:09:07.449827,6
2019-09-16 15:09:07.449870,10,1125772,09/11/2019 01:06:08,Email,432904,09/10/2019 17:01:41,119,Introduction Email: Generic,,,,-100,,"System, Email",,,,2019-09-16 15:09:07.449870,5
2019-09-16 15:09:07.449912,10,1125772,09/11/2019 01:06:08,Email,432903,09/10/2019 17:01:41,117,Newly Assigned Lead Notification,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,,2019-09-16 15:09:07.449912,5
2019-09-16 15:09:07.449954,10,1125772,09/11/2019 01:06:08,Distribution,255811,09/10/2019 17:01:42,38,New Lead Distribution,,,,11402,test4@pro-pair.com,"GottaHaveThose, Recommendations",,,,2019-09-16 15:09:07.449954,4
2019-09-16 15:09:07.450004,10,1125773,09/11/2019 01:06:09,Status,155598,09/10/2019 17:03:42,2,Contact Attempt 1,,,,-100,velocify.system.user@securesend.org,"System, Velocify",,,,2019-09-16 15:09:07.450004,7
2019-09-16 15:09:07.450045,10,1125773,09/11/2019 01:06:09,CreationLog,160786,09/10/2019 17:03:39,-50,,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,-1,2019-09-16 15:09:07.450045,
2019-09-16 15:09:07.450086,10,1125773,09/11/2019 01:06:09,Export,113481,09/10/2019 17:03:41,-50,Failure,,,"https://nijt588ad1.execute-api.us-west-1.amazonaws.com/Stage/leads:{
	""lead"": {
		""payload"": {
			""id"": ""1125773"",
		  ""actionCount"": ""0"",
		  ""campaign"": ""Zeta"",
		  ""campaignGroup"": ""Banker RPG"",
		  ""creditProfile"": ""GOOD"",
		  ""dateAdded"": ""9/10/2019 5:03 PM"",
		  ""dayPhone"": ""(555) 128-2821"",
		  ""email"": ""bsanchez@mendez.com"",
		  ""eveningPhone"": ""(555) 722-7813"",
		  ""existingHomeValue"": ""1"",
		  ""firstName"": ""Megan"",
		  ""intendedPropertyUse"": ""INVESTMENT"",
		  ""lastDuplicate"": """",
		  ""lastName"": ""Wagner"",
		  ""loanAmount"": ""814121.00"",
		  ""loanPurpose"": ""2NDMORTGAGE"",
		  ""propertyAddress"": ""na"",
		  ""propertyState"": ""ID"",
		  ""propertyType"": ""SFR"",
		  ""propertyZipCode"": ""51716"",
		  ""purchasePrice"": ""686117.001"",
		  ""LeadProviderName"": ""TWILIO"",
		  ""IsMilitary"": ""Yes"",
		  ""CIS"": ""0.4"",
		  ""FICO"": ""845""
		}
	}
}",-100,,"System, Velocify",,,,2019-09-16 15:09:07.450086,6
2019-09-16 15:09:07.450131,10,1125773,09/11/2019 01:06:09,Email,432905,09/10/2019 17:03:41,117,Newly Assigned Lead Notification,,,,1,velocifysandbox@pro-pair.com,"Ewing, Ethan",20,Main,,2019-09-16 15:09:07.450131,5
